"id";"category_id";"locale";"slug";"name";"created_at";"updated_at"
;17;"fr";;"Conseil,";2023-06-05 00:00:00;2023-09-07 10:39:19
;18;"fr";;"Soins,";2023-06-05 00:00:00;2023-09-07 10:39:19
;19;"fr";;"Communication,";2023-06-05 00:00:00;2023-09-07 10:39:19
;20;"fr";;"Communauté,";2023-06-05 00:00:00;2023-09-07 10:39:19
;21;"fr";;"Construction,";2023-06-05 00:00:00;2023-09-07 10:39:19
;22;"fr";;"Culinaire,";2023-06-05 00:00:00;2023-09-07 10:39:19
;23;"fr";;"Culture,";2023-06-05 00:00:00;2023-09-07 10:39:19
;24;"fr";;"Éducation,";2023-06-05 00:00:00;2023-09-07 10:39:19
;25;"fr";;"Divertissement,";2023-06-05 00:00:00;2023-09-07 10:39:19
;26;"fr";;"Agriculture & Jardinage,";2023-06-05 00:00:00;2023-09-07 10:39:19
;27;"fr";;"Entretien,";2023-06-05 00:00:00;2023-09-07 10:39:19
;28;"fr";;"Organisation,";2023-06-05 00:00:00;2023-09-07 10:39:19
;29;"fr";;"Loisirs,";2023-06-05 00:00:00;2023-09-07 10:39:19
;30;"fr";;"Recherche,";2023-06-05 00:00:00;2023-09-07 10:39:19
;31;"fr";;"Technologie,";2023-06-05 00:00:00;2023-09-07 10:39:19
;32;"fr";;"Transport,";2023-06-05 00:00:00;2023-09-07 10:39:19
;33;"fr";;"Conseil personnel,";2023-06-05 00:00:00;2023-09-07 10:39:19
;34;"fr";;"Conseil professionnel,";2023-06-05 00:00:00;2023-09-07 10:39:19
;35;"fr";;"Conseil en durabilité,";2023-06-05 00:00:00;2023-09-07 10:39:19
;36;"fr";;"Garde d'enfants,";2023-06-05 00:00:00;2023-09-07 10:39:19
;37;"fr";;"Soins aux personnes âgées,";2023-06-05 00:00:00;2023-09-07 10:39:19
;38;"fr";;"Soins de santé,";2023-06-05 00:00:00;2023-09-07 10:39:19
;39;"fr";;"Hospitalité,";2023-06-05 00:00:00;2023-09-07 10:39:19
;40;"fr";;"Soins des animaux,";2023-06-05 00:00:00;2023-09-07 10:39:19
;41;"fr";;"Bien-être,";2023-06-05 00:00:00;2023-09-07 10:39:19
;42;"fr";;"Langue,";2023-06-05 00:00:00;2023-09-07 10:39:19
;43;"fr";;"Médias,";2023-06-05 00:00:00;2023-09-07 10:39:19
;44;"fr";;"Présentation,";2023-06-05 00:00:00;2023-09-07 10:39:19
;45;"fr";;"Écriture & Contenu,";2023-06-05 00:00:00;2023-09-07 10:39:19
;46;"fr";;"Activisme & Politique,";2023-06-05 00:00:00;2023-09-07 10:39:19
;47;"fr";;"Événements communautaires,";2023-06-05 00:00:00;2023-09-07 10:39:19
;48;"fr";;"Projets communautaires,";2023-06-05 00:00:00;2023-09-07 10:39:19
